#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
1,爱,ài,to love; to like; affection,动 v.,动 v.,1,1
2,八,bā,eight,数 num.,数 num.,1,1
3,爸爸,bàba,father; dad,名 n.,名 n.,1,1
4,吧,ba,suggestion particle; add to end of sentence to make it a suggestion,助 part.,助 part.,1,1
5,白天,báitiān,daytime; during the day; day,名 n.,名 n.,1,1
6,百,bǎi,hundred,数 num.,数 num.,1,1
7,半,bàn,half,数 num.; （副 adv.）,数 num.,1,1（4）
8,包子,bāozi,bao,名 n.,名 n.,1,1
9,杯子,bēizi,cup; glass,名 n.,名 n.,1,1
10,本1,běn,measure word for books,量 m.w.,量 m.w.,1,1
11,边,biān,side; edge; margin,名 n.; 后缀 suff.,名 n.,1,1
12,病,bìng,illness; disease; to fall ill,名 n.; 动 v.,名 n.,1,1
13,不,bù,no; not so; not,副 adv.,副 adv.,1,1
14,不客气,búkèqi,you're welcome,叹 interj.,叹 interj.,1,1
15,不要,búyào,don't!; must not,副 adv.,副 adv.,1,1
16,菜,cài,dish; vegetable; cuisine,名 n.,名 n.,1,1
17,茶,chá,tea; tea plant,名 n.,名 n.,1,1
18,唱,chàng,to sing; to call loudly; to chant,动 v.,动 v.,1,1
19,超市,chāoshì,supermarket,名 n.,名 n.,1,1
20,车,chē,car; vehicle,名 n.,名 n.,1,1
21,吃,chī,to eat; to consume; to eat at,动 v.,动 v.,1,1
22,出租车,chūzūchē,taxi; rental car,名 n.,名 n.,1,1
23,穿,chuān,to wear; to put on; to dress,动 v.,动 v.,1,1
24,打电话,dǎdiànhuà,to make a phone call,动 v.,动 v.,1,1
25,大,dà,big; large; great,形 adj.,形 adj.,1,1
26,大家,dàjiā,everyone,代 pron.,代 pron.,1,1
27,大学,dàxué,college; university,名 n.,名 n.,1,1
28,大学生,dàxuéshēng,university student; college student,名 n.,名 n.,1,1
29,到,dào,to reach; to arrive; to leave for,动 v.,动 v.,1,1
30,的,de,s; linking particle,助 part.,助 part.,1,1
31,第,dì,prefix for ordinal numbers,前缀 pref.,前缀 pref.,1,1
32,弟弟,dìdi,younger brother,名 n.,名 n.,1,1
33,点1,diǎn,o'clock; point,量 m.w.; （名 n.）,量 m.w.,1,1（3）
34,店,diàn,inn; old-style hotel; shop,名 n.,名 n.,1,1
35,电话,diànhuà,telephone; phone call; phone number,名 n.,名 n.,1,1
36,电脑,diànnǎo,computer,名 n.,名 n.,1,1
37,电视,diànshì,television; TV,名 n.,名 n.,1,1
38,电影,diànyǐng,movie; film,名 n.,名 n.,1,1
39,电影院,diànyǐngyuàn,cinema; movie theater,名 n.,名 n.,1,1
40,东西,dōngxi,thing; stuff; person,名 n.,名 n.,1,1
41,都,dōu,all; both; entirely,副 adv.,副 adv.,1,1
42,读,dú,to read out; to read aloud; to read,动 v.,动 v.,1,1
43,读书,dúshū,to read a book; to study; to attend school,动 v.,动 v.,1,1
44,对,duì,correct; toward,形 adj.; 介 prep.; （动 v.; 量 m.w.）,形 adj.,1,1（4）
